idx,imu_Timestamp[sec],mag_Timestamp[sec],baro_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],press[hPa],rel_alt[m],moving, temp_left[C],temp_right[C],temp_imu[C],temp_barom[C],
66741,168.000174000,167.997546000,152.011841000,-0.058212034,-0.431327105,10.042823792,0.106963433,0.109011739,-0.056029938,0.125000000,-1.000000000,-2.937500000,-92.395507812,151.102325439,-0.361724943,1032.478271484,6.241302490,0.000000000,31.929998398,32.680000305,32.649997711,32.989997864,
66743,168.005214000,167.997546000,152.011841000,-0.060854692,-0.434666514,10.065442085,-0.006912472,-0.076890692,-0.025492668,0.125000000,-1.000000000,-2.937500000,-92.401321411,151.101852417,-0.361033380,1032.478271484,6.240997314,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66745,168.010254000,167.997546000,152.011841000,-0.058467019,-0.434665948,10.065442085,0.052107301,0.045766164,-0.024682689,0.125000000,-1.000000000,-2.937500000,-92.402503967,151.101959229,-0.362083524,1032.478271484,6.240691185,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66747,168.015294000,168.017706000,152.011841000,-0.063174225,-0.433831900,10.059192657,0.117040098,0.015652979,0.037705004,0.125000000,-1.000000000,-3.000000000,-92.402595520,151.102249146,-0.363267750,1032.478271484,6.240385532,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66748,168.017814000,168.017706000,152.011841000,-0.067896709,-0.429042071,10.052044868,0.236650899,0.169433624,-0.115571909,0.125000000,-1.000000000,-3.000000000,-92.405891418,151.101943970,-0.365407348,1032.478271484,6.240232944,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66750,168.022854000,168.017706000,152.011841000,-0.072737865,-0.418743998,10.055017471,0.077934377,-0.015288792,-0.302855611,0.125000000,-1.000000000,-3.000000000,-92.405250549,151.100982666,-0.365783870,1032.478271484,6.239927769,0.000000000,31.929998398,32.680000305,32.599998474,32.989997864,
66752,168.027894000,168.017706000,152.011841000,-0.072755493,-0.411569506,10.057401657,0.164019421,-0.107321054,0.007981436,0.125000000,-1.000000000,-3.000000000,-92.403915405,151.100708008,-0.367364228,1032.478271484,6.239621639,0.000000000,31.929998398,32.680000305,32.599998474,32.989997864,
66754,168.032934000,168.037866000,152.011841000,-0.074862257,-0.416881323,10.043131828,-0.023908224,-0.043579277,0.065718427,0.125000000,-1.000000000,-3.000000000,-92.403297424,151.100891113,-0.368986458,1032.478271484,6.239315510,0.000000000,31.929998398,32.680000305,32.680000305,32.989997864,
66756,168.037974000,168.037866000,152.011841000,-0.077232309,-0.428840786,10.040748596,0.124158323,0.018271290,0.067525908,0.125000000,-1.000000000,-2.937500000,-92.402732849,151.101013184,-0.369631052,1032.478271484,6.239009380,0.000000000,31.929998398,32.680000305,32.680000305,32.989997864,
66758,168.043014000,168.037866000,152.011841000,-0.072621502,-0.428209931,10.048177719,0.064921588,0.046868492,-0.117733784,0.125000000,-1.000000000,-2.937500000,-92.402633667,151.100753784,-0.369514942,1032.478271484,6.238703251,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
